,Name,Distance From City,Rating,Total Review,privates,Dorms,Facility
0,St Christopher's Shepherds Bush,Hostel - 7km from city centre,8.3,632 Total Reviews,No Privates Available,Dorms From Rs2041,Free WiFi Follows Covid-19 sanitation guidance
1,Venture Hostel,Hostel - 6.9km from city centre,4.4,1171 Total Reviews,Privates From Rs8046,Dorms From Rs1383,Free WiFi
2,Wombat's The City Hostel London,Hostel - 3.6km from city centre,8.7,13243 Total Reviews,No Privates Available,Dorms From Rs2616,Free WiFi Follows Covid-19 sanitation guidance
3,Abercorn House,Hostel - 7.3km from city centre,7.4,3667 Total Reviews,Privates From Rs11823,Dorms From Rs1999,
4,London Backpackers,Hostel - 11.9km from city centre,8.5,4133 Total Reviews,No Privates Available,Dorms From Rs1520,Free WiFi Free Breakfast Follows Covid-19 sanitation guidance
5,Selina Camden,Hostel - 5.5km from city centre,9.0,10 Total Reviews,Privates From Rs27714,No Dorms Available,Free WiFi
6,St Christopher's Village,Hostel - 1.8km from city centre,8.3,10884 Total Reviews,Privates From Rs9100,Dorms From Rs1954,Free WiFi Follows Covid-19 sanitation guidance
7,St Christopher's Camden,Hostel - 4.3km from city centre,7.3,3714 Total Reviews,No Privates Available,Dorms From Rs1696,Free WiFi Follows Covid-19 sanitation guidance
8,Phoenix Hostel,Hostel - 4.2km from city centre,7.9,3443 Total Reviews,No Privates Available,Dorms From Rs1834,Free WiFi Follows Covid-19 sanitation guidance
9,London Waterloo Hostel,Hostel - 0.7km from city centre,6.8,2425 Total Reviews,No Privates Available,Dorms From Rs1843,Free WiFi Free Breakfast Follows Covid-19 sanitation guidance
10,Generator London,Hostel - 3km from city centre,7.6,6756 Total Reviews,Privates From Rs11996,Dorms From Rs2345,Free WiFi Follows Covid-19 sanitation guidance
11,Safestay London Kensington Holland Park,Hostel - 5.9km from city centre,8.4,1092 Total Reviews,No Privates Available,Dorms From Rs1861,Free WiFi
12,Safestay London Elephant & Castle,Hostel - 1.7km from city centre,8.1,3967 Total Reviews,Privates From Rs18613,Dorms From Rs1861,Free WiFi Follows Covid-19 sanitation guidance
13,"PubLove @ The Crown, Battersea",Hostel - 4.7km from city centre,7.5,217 Total Reviews,No Privates Available,Dorms From Rs2309,Free WiFi Follows Covid-19 sanitation guidance
14,Clink261,Hostel - 3.2km from city centre,7.1,3185 Total Reviews,No Privates Available,Dorms From Rs1622,Free WiFi Follows Covid-19 sanitation guidance
15,Strand Continental,Hostel - 1.3km from city centre,7.7,790 Total Reviews,No Privates Available,Dorms From Rs2606,Free Breakfast Follows Covid-19 sanitation guidance
16,Saint James Backpackers,Hostel - 5.5km from city centre,7.4,1766 Total Reviews,Privates From Rs11021,Dorms From Rs2358,Free WiFi Free Breakfast Follows Covid-19 sanitation guidance
17,The London Home Hostel,Hostel - 8.2km from city centre,5.6,250 Total Reviews,Privates From Rs4136,Dorms From Rs1634,Free WiFi
18,The Finnish Church in London,Hostel - 4.5km from city centre,9.5,194 Total Reviews,No Privates Available,Dorms From Rs2999,Free WiFi Follows Covid-19 sanitation guidance
19,No.8 Seven Sisters,Hostel - 9km from city centre,6.7,3641 Total Reviews,No Privates Available,Dorms From Rs943,Free WiFi Follows Covid-19 sanitation guidance
20,The Dictionary Hostel,Hostel - 4.1km from city centre,7.9,15 Total Reviews,No Privates Available,Dorms From Rs2140,Free WiFi
21,Prime Backpackers Angel,Hostel - 3.6km from city centre,9.0,517 Total Reviews,No Privates Available,Dorms From Rs2525,Free WiFi Follows Covid-19 sanitation guidance
22,Urbany Hostel London,Hostel - 5.4km from city centre,9.7,142 Total Reviews,No Privates Available,Dorms From Rs2235,Free WiFi Follows Covid-19 sanitation guidance
23,PubLove @ The Rose & Crown,Hostel - 1.6km from city centre,7.5,101 Total Reviews,No Privates Available,Dorms From Rs2826,Free WiFi Follows Covid-19 sanitation guidance
24,Queen Elizabeth Chelsea,Hostel - 5.7km from city centre,8.2,3172 Total Reviews,No Privates Available,Dorms From Rs1274,Free WiFi
25,"PubLove @ The Steam Engine, Waterloo",Hostel - 0.5km from city centre,8.3,202 Total Reviews,No Privates Available,Dorms From Rs2344,Free WiFi Follows Covid-19 sanitation guidance
26,Le Junction Hostel - Pub & Garden,Hostel - 9.8km from city centre,6.7,385 Total Reviews,No Privates Available,Dorms From Rs1241,Free WiFi Follows Covid-19 sanitation guidance
27,All Star Private Studios,Apartment - 9.1km from city centre,3.7,150 Total Reviews,Privates From Rs4136,Dorms From Rs1758,Free WiFi
28,Britannia Inn Hotel,Hotel - 14.5km from city centre,9.7,17 Total Reviews,Privates From Rs19992,No Dorms Available,Free Breakfast Follows Covid-19 sanitation guidance
29,Budget London Apartments,Apartment - 8.2km from city centre,2.0,356 Total Reviews,Privates From Rs4136,Dorms From Rs1603,Free WiFi
30,St Christopher's Shepherds Bush,Hostel - 7km from city centre,8.3,632 Total Reviews,No Privates Available,Dorms From Rs2041,Free WiFi Follows Covid-19 sanitation guidance
31,Venture Hostel,Hostel - 6.9km from city centre,4.4,1171 Total Reviews,Privates From Rs8046,Dorms From Rs1383,Free WiFi
32,Wombat's The City Hostel London,Hostel - 3.6km from city centre,8.7,13243 Total Reviews,No Privates Available,Dorms From Rs2616,Free WiFi Follows Covid-19 sanitation guidance
33,Abercorn House,Hostel - 7.3km from city centre,7.4,3667 Total Reviews,Privates From Rs11823,Dorms From Rs1999,
34,London Backpackers,Hostel - 11.9km from city centre,8.5,4133 Total Reviews,No Privates Available,Dorms From Rs1520,Free WiFi Free Breakfast Follows Covid-19 sanitation guidance
35,Selina Camden,Hostel - 5.5km from city centre,9.0,10 Total Reviews,Privates From Rs27714,No Dorms Available,Free WiFi
36,St Christopher's Village,Hostel - 1.8km from city centre,8.3,10884 Total Reviews,Privates From Rs9100,Dorms From Rs1954,Free WiFi Follows Covid-19 sanitation guidance
37,St Christopher's Camden,Hostel - 4.3km from city centre,7.3,3714 Total Reviews,No Privates Available,Dorms From Rs1696,Free WiFi Follows Covid-19 sanitation guidance
38,Phoenix Hostel,Hostel - 4.2km from city centre,7.9,3443 Total Reviews,No Privates Available,Dorms From Rs1834,Free WiFi Follows Covid-19 sanitation guidance
39,London Waterloo Hostel,Hostel - 0.7km from city centre,6.8,2425 Total Reviews,No Privates Available,Dorms From Rs1843,Free WiFi Free Breakfast Follows Covid-19 sanitation guidance
40,Generator London,Hostel - 3km from city centre,7.6,6756 Total Reviews,Privates From Rs11996,Dorms From Rs2345,Free WiFi Follows Covid-19 sanitation guidance
41,Safestay London Kensington Holland Park,Hostel - 5.9km from city centre,8.4,1092 Total Reviews,No Privates Available,Dorms From Rs1861,Free WiFi
42,Safestay London Elephant & Castle,Hostel - 1.7km from city centre,8.1,3967 Total Reviews,Privates From Rs18613,Dorms From Rs1861,Free WiFi Follows Covid-19 sanitation guidance
43,"PubLove @ The Crown, Battersea",Hostel - 4.7km from city centre,7.5,217 Total Reviews,No Privates Available,Dorms From Rs2309,Free WiFi Follows Covid-19 sanitation guidance
44,Clink261,Hostel - 3.2km from city centre,7.1,3185 Total Reviews,No Privates Available,Dorms From Rs1622,Free WiFi Follows Covid-19 sanitation guidance
45,Strand Continental,Hostel - 1.3km from city centre,7.7,790 Total Reviews,No Privates Available,Dorms From Rs2606,Free Breakfast Follows Covid-19 sanitation guidance
46,Saint James Backpackers,Hostel - 5.5km from city centre,7.4,1766 Total Reviews,Privates From Rs11021,Dorms From Rs2358,Free WiFi Free Breakfast Follows Covid-19 sanitation guidance
47,The London Home Hostel,Hostel - 8.2km from city centre,5.6,250 Total Reviews,Privates From Rs4136,Dorms From Rs1634,Free WiFi
48,The Finnish Church in London,Hostel - 4.5km from city centre,9.5,194 Total Reviews,No Privates Available,Dorms From Rs2999,Free WiFi Follows Covid-19 sanitation guidance
49,No.8 Seven Sisters,Hostel - 9km from city centre,6.7,3641 Total Reviews,No Privates Available,Dorms From Rs943,Free WiFi Follows Covid-19 sanitation guidance
50,The Dictionary Hostel,Hostel - 4.1km from city centre,7.9,15 Total Reviews,No Privates Available,Dorms From Rs2140,Free WiFi
51,Prime Backpackers Angel,Hostel - 3.6km from city centre,9.0,517 Total Reviews,No Privates Available,Dorms From Rs2525,Free WiFi Follows Covid-19 sanitation guidance
52,Urbany Hostel London,Hostel - 5.4km from city centre,9.7,142 Total Reviews,No Privates Available,Dorms From Rs2235,Free WiFi Follows Covid-19 sanitation guidance
53,PubLove @ The Rose & Crown,Hostel - 1.6km from city centre,7.5,101 Total Reviews,No Privates Available,Dorms From Rs2826,Free WiFi Follows Covid-19 sanitation guidance
54,Queen Elizabeth Chelsea,Hostel - 5.7km from city centre,8.2,3172 Total Reviews,No Privates Available,Dorms From Rs1274,Free WiFi
55,"PubLove @ The Steam Engine, Waterloo",Hostel - 0.5km from city centre,8.3,202 Total Reviews,No Privates Available,Dorms From Rs2344,Free WiFi Follows Covid-19 sanitation guidance
56,Le Junction Hostel - Pub & Garden,Hostel - 9.8km from city centre,6.7,385 Total Reviews,No Privates Available,Dorms From Rs1241,Free WiFi Follows Covid-19 sanitation guidance
57,All Star Private Studios,Apartment - 9.1km from city centre,3.7,150 Total Reviews,Privates From Rs4136,Dorms From Rs1758,Free WiFi
58,Britannia Inn Hotel,Hotel - 14.5km from city centre,9.7,17 Total Reviews,Privates From Rs19992,No Dorms Available,Free Breakfast Follows Covid-19 sanitation guidance
59,Budget London Apartments,Apartment - 8.2km from city centre,2.0,356 Total Reviews,Privates From Rs4136,Dorms From Rs1603,Free WiFi
