,Name,Artist,Peak,Last Week,Wks on Chart
0,Easy On Me,Adele,1,1,3
1,Stay,The Kid LAROI & Justin Bieber,1,2,16
2,Industry Baby,Lil Nas X & Jack Harlow,1,3,14
3,Fancy Like,Walker Hayes,3,4,19
4,Bad Habits,Ed Sheeran,2,5,18
5,Way 2 Sexy,Drake Featuring Future & Young Thug,1,6,8
6,Shivers,Ed Sheeran,7,9,7
7,Good 4 U,Olivia Rodrigo,1,7,24
8,Need To Know,Doja Cat,9,11,20
9,Levitating,Dua Lipa,2,8,56
10,Essence,Wizkid Featuring Justin Bieber & Tems,9,12,17
11,Kiss Me More,Doja Cat Featuring SZA,3,10,29
12,Heat Waves,Glass Animals,12,14,41
13,Beggin',Maneskin,14,15,18
14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,21,8
15,You Right,Doja Cat & The Weeknd,11,16,18
16,Save Your Tears,The Weeknd & Ariana Grande,1,17,46
17,If I Didn't Love You,Jason Aldean & Carrie Underwood,15,23,14
18,Traitor,Olivia Rodrigo,9,22,23
19,My Universe,Coldplay x BTS,1,13,5
20,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",17,19,3
21,Knife Talk,Drake Featuring 21 Savage & Project Pat,4,18,8
22,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,23,32,7
23,Montero (Call Me By Your Name),Lil Nas X,1,24,31
24,Chasing After You,Ryan Hurd With Maren Morris,23,25,26
25,Girls Want Girls,Drake Featuring Lil Baby,2,26,8
26,Moth To A Flame,Swedish House Mafia & The Weeknd,27,-,1
27,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,28,-,1
28,Thats What I Want,Lil Nas X,10,28,6
29,Pepas,Farruko,25,29,14
30,Love Nwantiti (Ah Ah Ah),CKay,31,31,6
31,Take My Breath,The Weeknd,6,27,12
32,Happier Than Ever,Billie Eilish,11,30,13
33,Wockesha,Moneybagg Yo,20,33,27
34,Better Days,NEIKED X Mae Muller X Polo G,35,57,2
35,Buy Dirt,Jordan Davis Featuring Luke Bryan,34,34,12
36,Ghost,Justin Bieber,32,38,5
37,Lets Go Brandon,Loza Alexander,38,45,2
38,Cold As You,Luke Combs,39,41,13
39,A-O-K,Tai Verdes,34,36,17
40,You Should Probably Leave,Chris Stapleton,40,40,17
41,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,44,34
42,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,43,51,11
43,Memory I Don't Mess With,Lee Brice,33,35,14
44,Bubbly,Young Thug With Drake & Travis Scott,20,20,2
45,Wild Side,Normani Featuring Cardi B,14,47,15
46,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,22,43,9
47,Gyalis,Capella Grey,38,46,13
48,I Was On A Boat That Day,Old Dominion,37,42,17
49,Family Ties,Baby Keem & Kendrick Lamar,18,52,9
50,Have Mercy,Chloe,28,53,7
51,Fair Trade,Drake Featuring Travis Scott,3,48,8
52,Same Boat,Zac Brown Band,53,55,6
53,My Boy,Elvie Shane,28,37,18
54,Hurricane,Kanye West,6,58,9
55,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,56,63,5
56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56,59,13
57,Knowing You,Kenny Chesney,58,64,11
58,Memory,Kane Brown X blackbear,50,62,16
59,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26,54,17
60,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",61,-,1
61,Pissed Me Off,Lil Durk,39,39,2
62,Woman,Doja Cat,62,65,13
63,Sand In My Boots,Morgan Wallen,32,74,15
64,'Til You Can't,Cody Johnson,65,76,3
65,Love Again,Dua Lipa,41,61,15
66,Whiskey And Rain,Michael Ray,67,81,4
67,One Mississippi,Kane Brown,68,80,5
68,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,69,-,1
69,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69,77,4
70,Too Easy,Gunna & Future,38,71,5
71,Esta Danada,Ivan Cornejo,61,66,4
72,Volvi,Aventura x Bad Bunny,22,75,13
73,Tequila Little Time,Jon Pardi,74,83,3
74,Whole Lotta Money,BIA Featuring Nicki Minaj,16,70,16
75,2055,Sleepy Hallow,51,72,15
76,Maybach,42 Dugg Featuring Future,68,85,5
77,WFM,Realestk,67,67,3
78,Poke It Out,Wale Featuring J. Cole,79,-,1
79,Praise God,Kanye West,20,89,5
80,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",51,73,3
81,Freedom Was A Highway,Jimmie Allen & Brad Paisley,82,84,3
82,For Tonight,Giveon,83,88,4
83,Thot Shit,Megan Thee Stallion,16,82,20
84,Like A Lady,Lady A,85,99,3
85,Get Into It (Yuh),Doja Cat,68,86,12
86,Scorpio,Moneybagg Yo,87,-,1
87,Big Energy,Latto,88,-,1
88,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,89,-,1
89,Money,Lisa,90,-,1
90,No Friends In The Industry,Drake,11,87,8
91,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92,92,2
92,Who's In Your Head,Jonas Brothers,93,96,3
93,In The Bible,Drake Featuring Lil Durk & Giveon,7,94,8
94,Just About Over You,Priscilla Block,95,100,3
95,To Be Loved By You,Parker McCollum,96,-,1
96,Ain't Shit,Doja Cat,24,-,14
97,Life Goes On,Oliver Tree,91,-,2
98,Come Through,H.E.R. Featuring Chris Brown,64,-,16
99,Nevada,YoungBoy Never Broke Again,58,-,4
